Subject ID,Slice Index,Haarpsi,VSI,VIF,NQM,LPIPS,Motion_Level
brain_AXT2_207_2070840,0,0.9554400121369602,0.9966,0.7722,32.900728783497506,0.0559477545320987,1
brain_AXT2_207_2070840,1,0.9785833638567376,0.9977,0.8033,33.5955012434892,0.0413617864251136,1
brain_AXT2_207_2070840,2,0.9736504144848448,0.9966,0.7763,30.19974928733127,0.0548235438764095,1
brain_AXT2_207_2070840,3,0.9733421882010812,0.9976,0.7611,35.41691061377755,0.0519226752221584,1
brain_AXT2_207_2070840,4,0.9873630449999488,0.9989,0.8707,40.96562755731031,0.0248505137860775,1
brain_AXT2_207_2070840,5,0.9789526453430328,0.9975,0.781,36.53627458943779,0.0427991710603237,1
brain_AXT2_207_2070840,6,0.982451992792952,0.9981,0.8158,32.52521127982816,0.0314049012959003,1
brain_AXT2_207_2070840,7,0.9914673584427252,0.9993,0.9265,41.30806031154143,0.0120274377986788,1
brain_AXT2_207_2070840,8,0.984375866124482,0.9978,0.7929,38.760846614124176,0.0378832668066024,1
brain_AXT2_207_2070840,9,0.9965330396483384,0.9992,0.8458,40.486557423143886,0.0293396115303039,1
brain_AXT2_207_2070795,0,0.9758092726158584,0.9981,0.8204,36.84839925317743,0.0385786332190036,1
brain_AXT2_207_2070795,1,0.995007974622116,0.9992,0.8873,39.83929681781068,0.0283561162650585,1
brain_AXT2_207_2070795,2,0.9834948786212931,0.9985,0.8541,39.28404642926586,0.0415155068039894,1
brain_AXT2_207_2070795,3,0.997266927474362,0.9995,0.91,43.317785704128575,0.0217046029865741,1
brain_AXT2_207_2070795,4,0.9757001435868832,0.9978,0.8098,35.72957374298689,0.053072765469551,1
brain_AXT2_207_2070795,5,0.9910608601843296,0.9989,0.8447,40.7557717749504,0.0342893116176128,1
brain_AXT2_207_2070795,6,0.9713257147723484,0.9981,0.779,34.65022640981117,0.0468721315264701,1
brain_AXT2_207_2070795,7,0.9871499239425008,0.9982,0.8038,39.44806516968121,0.0408430658280849,1
brain_AXT2_207_2070795,8,0.9884806347194268,0.9984,0.8107,40.92741054830561,0.0358471497893333,1
brain_AXT2_207_2070795,9,0.9690989843998846,0.9971,0.7524,37.42642366000262,0.0456797890365123,1
brain_AXT2_207_2070780,0,0.9800747594751,0.9973,0.794,38.87987998960461,0.0522058494389057,1
brain_AXT2_207_2070780,1,0.9711984718310088,0.9975,0.7865,34.668120899769974,0.051208421587944,1
brain_AXT2_207_2070780,2,0.9920031045416858,0.9985,0.8212,37.44975552663517,0.0450490601360797,1
brain_AXT2_207_2070780,3,0.995279912137225,0.9994,0.9163,42.22818692524753,0.0194746721535921,1
brain_AXT2_207_2070780,4,0.9886920316599898,0.9985,0.8544,39.31474165955996,0.0378235466778278,1
brain_AXT2_207_2070780,5,0.9704016866411366,0.9974,0.8123,35.102013944954244,0.0560296550393104,1
brain_AXT2_207_2070780,6,0.977340810169208,0.9971,0.7958,35.47333895293417,0.054413616657257,1
brain_AXT2_207_2070780,7,0.9889404182320882,0.9984,0.8567,42.60961023989002,0.0326763987541198,1
brain_AXT2_207_2070780,8,0.9896340333072658,0.9985,0.8434,44.848355165452816,0.0311833396553993,1
brain_AXT2_207_2070780,9,0.9665143288781683,0.9977,0.8042,40.29920418217582,0.0348434150218963,1
brain_AXT2_207_2070746,0,0.981755813480853,0.9981,0.811,38.77558161719292,0.0445884689688682,1
brain_AXT2_207_2070746,1,0.9712109518901784,0.9971,0.7525,33.23508891490743,0.0694840550422668,1
brain_AXT2_207_2070746,2,0.9292347317527162,0.9939,0.6715,28.921121543416785,0.1024428308010101,1
brain_AXT2_207_2070746,3,0.975435542929657,0.9977,0.7656,36.558446291025525,0.0603029802441597,1
brain_AXT2_207_2070746,4,0.9895724144149958,0.9988,0.8284,39.06835387984358,0.036735538393259,1
brain_AXT2_207_2070746,5,0.981531098821572,0.9983,0.8182,38.54277439666168,0.0425296016037464,1
brain_AXT2_207_2070746,6,0.9852615279803656,0.9984,0.8132,38.88022972345518,0.0396227240562438,1
brain_AXT2_207_2070746,7,0.9828772189991368,0.9978,0.8015,37.277775794404576,0.041708618402481,1
brain_AXT2_207_2070746,8,0.9716009629393336,0.9977,0.8136,38.95454758691762,0.0351698771119117,1
brain_AXT2_207_2070746,9,0.985463692259647,0.9979,0.8373,43.68077805067809,0.0287660546600818,1
brain_AXT2_207_2070679,0,0.98665793186221,0.9986,0.8105,36.73360361276518,0.0401996225118637,1
brain_AXT2_207_2070679,1,0.991832383749551,0.9987,0.8547,41.72774614431819,0.0274424441158771,1
brain_AXT2_207_2070679,2,0.9845796585410134,0.998,0.8243,37.991820899761294,0.0345042943954467,1
brain_AXT2_207_2070679,3,0.9700090219485104,0.9965,0.783,34.22871173414699,0.0444858185946941,1
brain_AXT2_207_2070679,4,0.9922406541399248,0.9986,0.8548,38.63964584354723,0.0307986252009868,1
brain_AXT2_207_2070679,5,0.9848403705758496,0.9985,0.8586,39.570853623999945,0.0300713535398244,1
brain_AXT2_207_2070679,6,0.9918047778282668,0.9993,0.8728,40.7604715362784,0.0255240444093942,1
brain_AXT2_207_2070679,7,0.9912239837266738,0.9987,0.8357,41.238617565505606,0.0326383784413337,1
brain_AXT2_207_2070679,8,0.9919718207115684,0.9988,0.8538,41.509179752723135,0.0301251895725727,1
brain_AXT2_207_2070679,9,0.9917927176895002,0.9985,0.8125,37.81981521137472,0.0354926325380802,1
brain_AXT2_207_2070559,0,0.9902462527414024,0.9985,0.8628,40.83995388076703,0.0257992409169673,1
brain_AXT2_207_2070559,1,0.9797214026025632,0.9975,0.7626,36.225583180125234,0.0515133179724216,1
brain_AXT2_207_2070559,2,0.9589860907541164,0.9971,0.7538,32.68121092520677,0.0619070269167423,1
brain_AXT2_207_2070559,3,0.9762812094770263,0.9978,0.7812,36.83165887368495,0.0526026934385299,1
brain_AXT2_207_2070559,4,0.9945243639732564,0.9991,0.8612,42.29867306147702,0.027700737118721,1
brain_AXT2_207_2070559,5,0.9859421978375198,0.9975,0.7772,39.614404565561685,0.0449140518903732,1
brain_AXT2_207_2070559,6,0.9892197199196238,0.9983,0.7969,34.440971692282375,0.0408224314451217,1
brain_AXT2_207_2070559,7,0.981126831396003,0.9976,0.7901,35.706961686658495,0.0382771603763103,1
brain_AXT2_207_2070559,8,0.9972903519233668,0.9996,0.8911,41.58906268817348,0.0191773008555173,1
brain_AXT2_207_2070559,9,0.9765471254688752,0.9978,0.7612,31.334447925186684,0.0427039489150047,1
brain_AXT2_207_2070528,0,0.9712632174283684,0.997,0.7577,33.49721148334959,0.0615636482834816,1
brain_AXT2_207_2070528,1,0.9924912083955156,0.999,0.8746,41.6285472673814,0.025924913585186,1
brain_AXT2_207_2070528,2,0.9804130263991768,0.9982,0.8051,37.85505882251736,0.0417954139411449,1
brain_AXT2_207_2070528,3,0.9910219696371204,0.9991,0.865,38.32339561770568,0.0263688191771507,1
brain_AXT2_207_2070528,4,0.9787301235552816,0.997,0.7339,34.79819369550649,0.0616758540272712,1
brain_AXT2_207_2070528,5,0.99474373339171,0.9991,0.8421,34.744771105329484,0.0282460171729326,1
brain_AXT2_207_2070528,6,0.9982530043716952,0.9996,0.9053,42.767402126606086,0.0183312743902206,1
