Subject ID,Slice Index,Haarpsi,VSI,VIF,NQM,LPIPS
brain_AXT2_207_2070840,0,0.885058010043712,tensor(0.9859),tensor(0.5066),27.767269376133235,0.1614871174097061
brain_AXT2_207_2070840,1,0.9150411994817144,tensor(0.9889),tensor(0.5556),21.876867495467923,0.1252451390028
brain_AXT2_207_2070840,2,0.8708624956894846,tensor(0.9818),tensor(0.4612),27.1596393220538,0.1906175911426544
brain_AXT2_207_2070840,3,0.9179334362063176,tensor(0.9898),tensor(0.5313),26.47546655520189,0.1424438804388046
brain_AXT2_207_2070840,4,0.8634544199762392,tensor(0.9822),tensor(0.4609),29.94224458317957,0.1751064509153366
brain_AXT2_207_2070840,5,0.9508216868680172,tensor(0.9927),tensor(0.5832),34.811970263613496,0.1029492244124412
brain_AXT2_207_2070840,6,0.9550687307249665,tensor(0.9931),tensor(0.5636),25.37323282193579,0.1051939502358436
brain_AXT2_207_2070840,7,0.945688025455009,tensor(0.9925),tensor(0.5989),31.97939459743708,0.0932306051254272
brain_AXT2_207_2070840,8,0.935223954986614,tensor(0.9899),tensor(0.5229),32.74203688634097,0.122174933552742
brain_AXT2_207_2070840,9,0.9670203195900032,tensor(0.9944),tensor(0.5638),32.24193874771788,0.0994487851858139
brain_AXT2_207_2070795,0,0.9122882855742884,tensor(0.9889),tensor(0.5616),30.176002936853354,0.143024206161499
brain_AXT2_207_2070795,1,0.9271635776625292,tensor(0.9910),tensor(0.5920),29.580814816459643,0.1483581513166427
brain_AXT2_207_2070795,2,0.9192718612538217,tensor(0.9907),tensor(0.5829),29.31280681179649,0.1557135283946991
brain_AXT2_207_2070795,3,0.8485398022604823,tensor(0.9839),tensor(0.5003),24.982380444508905,0.1894615739583969
brain_AXT2_207_2070795,4,0.9215379002996696,tensor(0.9920),tensor(0.6009),27.24686447181069,0.1243737339973449
brain_AXT2_207_2070795,5,0.949957297910298,tensor(0.9951),tensor(0.6446),33.84499105562241,0.0934607461094856
brain_AXT2_207_2070795,6,0.9607920594187896,tensor(0.9957),tensor(0.6762),35.63757741903005,0.0792064741253852
