Filename,Slice,LPIPS_Score
brain_AXFLAIR_200_6002512.npy,1,0.07589735835790634
brain_AXFLAIR_200_6002512.npy,2,0.0971258357167244
brain_AXFLAIR_200_6002512.npy,3,0.1305571347475052
brain_AXFLAIR_200_6002512.npy,4,0.13595126569271088
brain_AXFLAIR_200_6002512.npy,5,0.11552165448665619
brain_AXFLAIR_200_6002512.npy,6,0.09680294245481491
brain_AXFLAIR_200_6002512.npy,7,0.07355663180351257
brain_AXFLAIR_200_6002512.npy,8,0.08625377714633942
brain_AXFLAIR_200_6002512.npy,9,0.09877438843250275
brain_AXFLAIR_200_6002512.npy,10,0.061297159641981125
brain_AXFLAIR_200_6002456.npy,1,0.09130899608135223
brain_AXFLAIR_200_6002456.npy,2,0.08582351356744766
brain_AXFLAIR_200_6002456.npy,3,0.09571042656898499
brain_AXFLAIR_200_6002456.npy,4,0.10811968892812729
brain_AXFLAIR_200_6002456.npy,5,0.13665562868118286
brain_AXFLAIR_200_6002456.npy,6,0.04134590923786163
brain_AXFLAIR_200_6002456.npy,7,0.09778939187526703
brain_AXFLAIR_200_6002456.npy,8,0.08084580302238464
brain_AXFLAIR_200_6002456.npy,9,0.06883331388235092
brain_AXFLAIR_200_6002456.npy,10,0.10812503099441528
brain_AXFLAIR_200_6002467.npy,1,0.08369388431310654
brain_AXFLAIR_200_6002467.npy,2,0.15879873931407928
brain_AXFLAIR_200_6002467.npy,3,0.16315916180610657
brain_AXFLAIR_200_6002467.npy,4,0.11072922497987747
brain_AXFLAIR_200_6002467.npy,5,0.08787455409765244
brain_AXFLAIR_200_6002467.npy,6,0.16658668220043182
brain_AXFLAIR_200_6002467.npy,7,0.1208091601729393
brain_AXFLAIR_200_6002467.npy,8,0.08909828215837479
brain_AXFLAIR_200_6002467.npy,9,0.09759777784347534
brain_AXFLAIR_200_6002467.npy,10,0.08505329489707947
brain_AXFLAIR_200_6002576.npy,1,0.08070909976959229
brain_AXFLAIR_200_6002576.npy,2,0.029359105974435806
brain_AXFLAIR_200_6002576.npy,3,0.10130595415830612
brain_AXFLAIR_200_6002576.npy,4,0.10678955912590027
brain_AXFLAIR_200_6002576.npy,5,0.08744952827692032
brain_AXFLAIR_200_6002576.npy,6,0.12036506831645966
brain_AXFLAIR_200_6002576.npy,7,0.0477568693459034
brain_AXFLAIR_200_6002576.npy,8,0.119378000497818
brain_AXFLAIR_200_6002576.npy,9,0.11724669486284256
brain_AXFLAIR_200_6002576.npy,10,0.10807114839553833
brain_AXFLAIR_200_6002435.npy,1,0.11558730155229568
brain_AXFLAIR_200_6002435.npy,2,0.08272924274206161
brain_AXFLAIR_200_6002435.npy,3,0.08336067199707031
brain_AXFLAIR_200_6002435.npy,4,0.13365232944488525
brain_AXFLAIR_200_6002435.npy,5,0.1327495574951172
brain_AXFLAIR_200_6002435.npy,6,0.11210131645202637
brain_AXFLAIR_200_6002435.npy,7,0.10791852325201035
brain_AXFLAIR_200_6002435.npy,8,0.11017565429210663
brain_AXFLAIR_200_6002435.npy,9,0.10070588439702988
brain_AXFLAIR_200_6002435.npy,10,0.10906894505023956
brain_AXFLAIR_200_6002522.npy,1,0.14386673271656036
brain_AXFLAIR_200_6002522.npy,2,0.10920237004756927
brain_AXFLAIR_200_6002522.npy,3,0.08681876957416534
brain_AXFLAIR_200_6002522.npy,4,0.09569026529788971
brain_AXFLAIR_200_6002522.npy,5,0.0741039365530014
brain_AXFLAIR_200_6002522.npy,6,0.03780920058488846
brain_AXFLAIR_200_6002522.npy,7,0.09998825192451477
brain_AXFLAIR_200_6002522.npy,8,0.11718100309371948
brain_AXFLAIR_200_6002522.npy,9,0.05844494700431824
brain_AXFLAIR_200_6002522.npy,10,0.09601511061191559
brain_AXFLAIR_200_6002585.npy,1,0.08728577941656113
brain_AXFLAIR_200_6002585.npy,2,0.09651144593954086
brain_AXFLAIR_200_6002585.npy,3,0.11514496803283691
brain_AXFLAIR_200_6002585.npy,4,0.12072359770536423
brain_AXFLAIR_200_6002585.npy,5,0.09475717693567276
brain_AXFLAIR_200_6002585.npy,6,0.0927947536110878
brain_AXFLAIR_200_6002585.npy,7,0.09014973044395447
brain_AXFLAIR_200_6002585.npy,8,0.05029131472110748
brain_AXFLAIR_200_6002585.npy,9,0.09341441839933395
brain_AXFLAIR_200_6002585.npy,10,0.07100002467632294
brain_AXFLAIR_200_6002501.npy,1,0.08381829410791397
brain_AXFLAIR_200_6002501.npy,2,0.13067947328090668
brain_AXFLAIR_200_6002501.npy,3,0.10546909272670746
brain_AXFLAIR_200_6002501.npy,4,0.11027169227600098
brain_AXFLAIR_200_6002501.npy,5,0.12186256796121597
brain_AXFLAIR_200_6002501.npy,6,0.11111749708652496
brain_AXFLAIR_200_6002501.npy,7,0.062733493745327
brain_AXFLAIR_200_6002501.npy,8,0.10372985899448395
brain_AXFLAIR_200_6002501.npy,9,0.0945383608341217
brain_AXFLAIR_200_6002501.npy,10,0.07692365348339081
brain_AXFLAIR_200_6002496.npy,1,0.06886391341686249
brain_AXFLAIR_200_6002496.npy,2,0.145038440823555
brain_AXFLAIR_200_6002496.npy,3,0.09835462272167206
brain_AXFLAIR_200_6002496.npy,4,0.08239642530679703
brain_AXFLAIR_200_6002496.npy,5,0.10056069493293762
brain_AXFLAIR_200_6002496.npy,6,0.09531896561384201
brain_AXFLAIR_200_6002496.npy,7,0.11528883874416351
brain_AXFLAIR_200_6002496.npy,8,0.09929466247558594
brain_AXFLAIR_200_6002496.npy,9,0.09297765791416168
brain_AXFLAIR_200_6002496.npy,10,0.07284081727266312
brain_AXFLAIR_200_6002503.npy,1,0.07409244030714035
brain_AXFLAIR_200_6002503.npy,2,0.04475942999124527
brain_AXFLAIR_200_6002503.npy,3,0.09481695294380188
brain_AXFLAIR_200_6002503.npy,4,0.11262325942516327
brain_AXFLAIR_200_6002503.npy,5,0.1412176787853241
brain_AXFLAIR_200_6002503.npy,6,0.06474222242832184
brain_AXFLAIR_200_6002503.npy,7,0.09525817632675171
brain_AXFLAIR_200_6002503.npy,8,0.06693080067634583
brain_AXFLAIR_200_6002503.npy,9,0.08505597710609436
brain_AXFLAIR_200_6002503.npy,10,0.10848483443260193
brain_AXFLAIR_200_6002474.npy,1,0.1289212852716446
brain_AXFLAIR_200_6002474.npy,2,0.06413879245519638
brain_AXFLAIR_200_6002474.npy,3,0.08099320530891418
brain_AXFLAIR_200_6002474.npy,4,0.11158213764429092
brain_AXFLAIR_200_6002474.npy,5,0.11160539835691452
brain_AXFLAIR_200_6002474.npy,6,0.08906762301921844
brain_AXFLAIR_200_6002474.npy,7,0.07517566531896591
brain_AXFLAIR_200_6002474.npy,8,0.12527191638946533
brain_AXFLAIR_200_6002474.npy,9,0.1114434078335762
brain_AXFLAIR_200_6002474.npy,10,0.06483303010463715
brain_AXFLAIR_200_6002452.npy,1,0.0752267837524414
brain_AXFLAIR_200_6002452.npy,2,0.05611672252416611
brain_AXFLAIR_200_6002452.npy,3,0.0992538258433342
brain_AXFLAIR_200_6002452.npy,4,0.12784801423549652
brain_AXFLAIR_200_6002452.npy,5,0.06708316504955292
brain_AXFLAIR_200_6002452.npy,6,0.10022895038127899
brain_AXFLAIR_200_6002452.npy,7,0.07047613710165024
brain_AXFLAIR_200_6002452.npy,8,0.08246773481369019
brain_AXFLAIR_200_6002452.npy,9,0.1000833809375763
brain_AXFLAIR_200_6002452.npy,10,0.12392581254243851
brain_AXFLAIR_200_6002618.npy,1,0.11247570812702179
brain_AXFLAIR_200_6002618.npy,2,0.08782467246055603
brain_AXFLAIR_200_6002618.npy,3,0.0789935514330864
brain_AXFLAIR_200_6002618.npy,4,0.15667010843753815
brain_AXFLAIR_200_6002618.npy,5,0.10556163638830185
brain_AXFLAIR_200_6002618.npy,6,0.1189776062965393
brain_AXFLAIR_200_6002618.npy,7,0.10530510544776917
brain_AXFLAIR_200_6002618.npy,8,0.08170027285814285
brain_AXFLAIR_200_6002618.npy,9,0.06468228250741959
brain_AXFLAIR_200_6002618.npy,10,0.0710955336689949
brain_AXFLAIR_200_6002595.npy,1,0.11223016679286957
brain_AXFLAIR_200_6002595.npy,2,0.11551449447870255
brain_AXFLAIR_200_6002595.npy,3,0.07740460336208344
brain_AXFLAIR_200_6002595.npy,4,0.08795890212059021
brain_AXFLAIR_200_6002595.npy,5,0.09285856783390045
brain_AXFLAIR_200_6002595.npy,6,0.09623543918132782
brain_AXFLAIR_200_6002595.npy,7,0.08139894902706146
brain_AXFLAIR_200_6002595.npy,8,0.07637185603380203
