Subject ID,Slice Index,SSIM
2070559,0,0.7041581341418922
2070559,1,0.604512923069577
2070559,2,0.6908809135429551
2070559,3,0.6160681909677246
2070559,4,0.7496405670040677
2070559,5,0.6880818731039103
2070559,6,0.7542405047887002
2070559,7,0.7547813188337101
2070559,8,0.7206269125127555
2070559,9,0.8024909759709407
2070559,10,0.7603817939235059
2070559,11,0.8032466751855178
2070559,12,0.8087976392428489
2070559,13,0.7704668411283483
2070559,14,0.8146398891359674
2070559,15,0.8394795137436035
2070308,0,0.7612792693235061
2070308,1,0.8075363671058067
2070308,2,0.8098658638314669
2070308,3,0.8597571697961064
2070308,4,0.904403780771654
2070308,5,0.784453729326903
2070308,6,0.9071750298306795
2070308,7,0.9132209206796585
2070308,8,0.7532543464367558
2070308,9,0.8927463127832383
2070308,10,0.7971284628657737
2070308,11,0.8600700117171713
2070308,12,0.8718798004554412
2070308,13,0.8141164998057939
2070308,14,0.8684033134431093
2070308,15,0.8765677303122308
2030082,0,0.7862779523432326
2030082,1,0.7432695391938335
2030082,2,0.5912440287957751
2030082,3,0.7126427438303026
2030082,4,0.7885306552021426
2030082,5,0.6832483913836688
2030082,6,0.7770758655149196
2030082,7,0.7967541352779117
2030082,8,0.7518409297191887
2030082,9,0.785055002133595
2030082,10,0.784919352720821
2030082,11,0.8248703776359599
2030082,12,0.8441204019109854
2030082,13,0.8304315794767796
2030082,14,0.8550276309099505
2030082,15,0.8675595661437628
2070847,0,0.7926149025496672
2070847,1,0.8592227600454028
2070847,2,0.7803351069905752
2070847,3,0.8876526730337048
2070847,4,0.8607685780011382
2070847,5,0.8345539419618465
2070847,6,0.8952743386448546
2070847,7,0.8623489163870225
2070847,8,0.7997569847816198
2070847,9,0.8569994370284548
2070847,10,0.8533306672472218
2070847,11,0.8414278401639995
2070847,12,0.8363731640648432
2070847,13,0.8612061892452957
2070847,14,0.8723919192576756
2070847,15,0.8789173394010541
2070390,0,0.8669296938521724
2070390,1,0.86081847825601
2070390,2,0.8708438285318485
2070390,3,0.8225784346307957
2070390,4,0.8174965790767282
2070390,5,0.8178590694310707
2070390,6,0.7546792398442405
2070390,7,0.8036216633697346
2070390,8,0.7938235961914499
2070390,9,0.7696709449451665
2070390,10,0.8154152967631666
2070390,11,0.8277904009660532
2070390,12,0.834172942423539
2070390,13,0.8375329189565904
2070390,14,0.8430499062024343
2070390,15,0.8575277620609791
2050035,0,0.857564555686061
2050035,1,0.8272376662728418
2050035,2,0.8462465720382149
2050035,3,0.8167964916192868
2050035,4,0.7951327797319468
2050035,5,0.8957442521847374
2050035,6,0.8856952939953114
2050035,7,0.9134625680877999
2050035,8,0.8195767741498845
2050035,9,0.9170954266144011
2050035,10,0.8466075476446101
2050035,11,0.8423101579864958
2050035,12,0.8259792885502819
2050035,13,0.8971641978872679
2050035,14,0.9045615947500848
2050035,15,0.9150892964582289
2020161,0,0.8072049385761549
2020161,1,0.7695901357670255
2020161,2,0.8030685252029014
2020161,3,0.7774433758370513
2020161,4,0.7656454207855061
2020161,5,0.8694204927228089
2020161,6,0.8561949236751761
2020161,7,0.8799849327874606
2020161,8,0.8002530576691057
2020161,9,0.8943220656513625
2020161,10,0.8377832849400189
2020161,11,0.8385440179127501
2020161,12,0.8514840637336105
2020161,13,0.8970334596443499
2020161,14,0.9097250661790433
2020161,15,0.9055902202401027
2010128,0,0.8532937236141688
2010128,1,0.8651766906765807
2010128,2,0.8688541379881713
2010128,3,0.8484822921045156
2010128,4,0.7699788610652843
2010128,5,0.8105152358361339
2010128,6,0.83129188371232
2010128,7,0.8949505616789618
2010128,8,0.8635054123435265
2010128,9,0.8541681737073639
2010128,10,0.8555648087340767
2010128,11,0.8708821850433885
2010128,12,0.8337677023517821
2010128,13,0.851949956257571
2010128,14,0.8942282452062043
2010128,15,0.8767243317007385
2050050,0,0.8031227274649706
2050050,1,0.7587737920247147
2050050,2,0.8357600456612954
2050050,3,0.7762005675966186
2050050,4,0.7645652979436116
2050050,5,0.8508687049805191
2050050,6,0.8152444138414949
2050050,7,0.8308713767542408
2050050,8,0.8379413110683642
2050050,9,0.8415254567902282
2050050,10,0.8631576585065202
2050050,11,0.8472143134171675
2050050,12,0.8731741393469195
2050050,13,0.8551133441225389
2050050,14,0.8653966760934106
2050050,15,0.9049557628607403
2070138,0,0.7455557174812752
2070138,1,0.7823144672299216
2070138,2,0.7632438491127838
2070138,3,0.7379031929890512
2070138,4,0.7435515480772746
2070138,5,0.7646116869729886
2070138,6,0.7859931249634092
2070138,7,0.7743981469796046
2070138,8,0.7870635688229798
2070138,9,0.795914159676316
2070138,10,0.7531365137907216
2070138,11,0.793831515952278
2070138,12,0.7882662895512423
2070138,13,0.7776355611478443
2070138,14,0.7935325232101799
2070138,15,0.7844879723915541
2070528,0,0.8605819085012669
2070528,1,0.8434797129188565
2070528,2,0.918316859102398
2070528,3,0.8519318834300716
2070528,4,0.8841422976979852
2070528,5,0.875671708353487
2070528,6,0.8405993975368672
2070528,7,0.8671264014483026
2070528,8,0.8568948466913013
2070528,9,0.8551506156010629
2070528,10,0.8579157909865682
2070528,11,0.8500801828867998
2070528,12,0.8610507016074646
2070528,13,0.8558082556647019
2070528,14,0.861177948774706
2070528,15,0.8646466329045648
6002554,0,0.8434363285802332
6002554,1,0.7110975858694054
6002554,2,0.7926004267519006
6002554,3,0.831187853751351
6002554,4,0.8401906016064475
6002554,5,0.8578598345065657
6002554,6,0.8853156936375183
6002554,7,0.85431593797088
6002554,8,0.8721433821266721
6002554,9,0.8183910507322962
6002554,10,0.8419762224349537
6002554,11,0.8394963537430993
6002554,12,0.8621809995891223
6002554,13,0.8500495930281252
6002554,14,0.8716630319138658
6002554,15,0.9243889931675774
2000404,0,0.9314710826467568
2000404,1,0.8478232073284788
2000404,2,0.9303359058892497
2000404,3,0.7527133599803154
2000404,4,0.9051114657121813
2000404,5,0.7616388908153621
2000404,6,0.8982024219338838
2000404,7,0.839961337909784
2000404,8,0.8592072073952209
2000404,9,0.8125628460334394
2000404,10,0.8436445097981086
2000404,11,0.875897433633048
2000404,12,0.8691772234214709
2000404,13,0.9121380183659639
2000404,14,0.887739650625503
2000404,15,0.894287795773714
2000053,0,0.8791520919893628
2000053,1,0.7963696195146653
2000053,2,0.9197491026595513
2000053,3,0.8833359548740535
2000053,4,0.8237685790763403
2000053,5,0.7259437444737646
2000053,6,0.8256438559085797
2000053,7,0.8033526806466602
2000053,8,0.7524794536089573
2000053,9,0.833301808863846
2000053,10,0.8584443319766794
2000053,11,0.855254325712609
2000053,12,0.910338268667986
2000053,13,0.8888072785774325
2000053,14,0.913465856882208
2000053,15,0.9231970207349405
6002150,0,0.8080491152172826
6002150,1,0.8681304943559346
6002150,2,0.8722764629244532
6002150,3,0.8383232384315754
6002150,4,0.8928849288700248
6002150,5,0.9131280629767277
6002150,6,0.8891063743909661
6002150,7,0.877678281612794
6002150,8,0.8571509370211134
6002150,9,0.8728445950813635
6002150,10,0.9028624084233148
6002150,11,0.9209328078731321
6002150,12,0.9038893261823325
6002150,13,0.9026986627651251
6002150,14,0.8851432585025026
6002150,15,0.8975481196319598
2030007,0,0.8497499759388906
2030007,1,0.7806469345828654
2030007,2,0.8967256940904371
2030007,3,0.8613840973235171
2030007,4,0.8061857845039895
2030007,5,0.6960031321618131
2030007,6,0.7894006655736052
2030007,7,0.7743188582205457
2030007,8,0.7548975945553226
2030007,9,0.8211797179385227
2030007,10,0.8447239813840676
2030007,11,0.846764953415448
2030007,12,0.8795131910571384
2030007,13,0.8736658169651077
2030007,14,0.8854630563435402
2030007,15,0.8884531176353128
2070780,0,0.8614114850350151
2070780,1,0.8818701198238116
2070780,2,0.759562420341477
2070780,3,0.8185063225141355
2070780,4,0.810373181757068
2070780,5,0.7854757610039217
2070780,6,0.7603938904560347
2070780,7,0.7503578002208972
2070780,8,0.7236799693330915
2070780,9,0.6607597644590424
2070780,10,0.7152032954220682
2070780,11,0.7261503143531716
2070780,12,0.7782371015244698
2070780,13,0.7869349037745699
2070780,14,0.816320121501494
2070780,15,0.8382248201424742
2000545,0,0.8161426940940206
2000545,1,0.8516831726694823
2000545,2,0.7770811299951736
2000545,3,0.8514631857943932
2000545,4,0.853324647858503
2000545,5,0.8587355689925934
2000545,6,0.8795505569411161
2000545,7,0.8473303215553707
2000545,8,0.8721299085015437
2000545,9,0.8711001166806844
2000545,10,0.860171055172429
2000545,11,0.8610521968246654
2000545,12,0.8616618179693507
2000545,13,0.8600858050848224
2000545,14,0.8841627385285667
2000545,15,0.9189021315917386
2070795,0,0.8552335293322725
2070795,1,0.5178410943183579
2070795,2,0.5922429753922901
2070795,3,0.619016307476845
2070795,4,0.728297197032207
2070795,5,0.6960937436961229
2070795,6,0.7242536414253553
2070795,7,0.8121488104827004
2070795,8,0.8419501787706208
2070795,9,0.7323397687570414
2070795,10,0.7934691351916056
2070795,11,0.8207287881719629
2070795,12,0.8460541033049248
2070795,13,0.8387942368868511
2070795,14,0.8494056344829494
2070795,15,0.8592161375508994
2070456,0,0.8003242709763757
2070456,1,0.6754702506792487
2070456,2,0.7896857690826068
2070456,3,0.8192979143862046
2070456,4,0.8076087709742091
2070456,5,0.8349095750829835
2070456,6,0.8379592561045744
2070456,7,0.8273630095683218
2070456,8,0.8399902557910292
2070456,9,0.8180121470744911
2070456,10,0.8329711501822439
2070456,11,0.8364993188577124
2070456,12,0.8482554093821209
2070456,13,0.8530552214062526
2070456,14,0.8852820268434227
2070456,15,0.8860461661675471
2130023,0,0.8321084017870157
2130023,1,0.8929593354648622
2130023,2,0.8356635108161727
2130023,3,0.9319181922482055
