Subject ID,Slice Index,BLUR_Z,MLC_Z,MSLC_Z,BLUR_minmax,MLC_minmax,MSLC_minmax
6000887,4,0.29674813,1.755611,0.8247451,0.29674816,1.755611,0.8247451
6000887,5,0.29795468,1.7454469,0.7838651,0.29795468,1.7454469,0.7838651
6000887,6,0.31645438,1.7024002,0.7824615,0.31645453,1.7024002,0.78246146
6000887,7,0.31177467,1.6598873,0.74113286,0.3117747,1.6598873,0.74113286
6000887,8,0.3172023,1.6268886,0.7135628,0.3172022,1.6268886,0.71356285
6000887,9,0.31969157,1.568408,0.60980976,0.3196916,1.568408,0.60980976
6000887,10,0.34812516,1.5120683,0.59014344,0.3481253,1.5120683,0.59014344
6000887,11,0.3431297,1.3927796,0.5122557,0.34312978,1.3927795,0.5122557
6000887,12,0.31132695,1.3445559,0.5826545,0.3113269,1.3445559,0.5826545
6000887,13,0.3259789,1.1642308,0.36526516,0.3259788,1.1642308,0.36526516
6000887,14,0.28829366,0.9670993,0.13172285,0.28829372,0.9670993,0.13172285
6000887,15,0.22572753,0.6146343,0.022233395,0.2257275,0.6146343,0.022233395
6000576,0,0.3143163,1.7607617,0.5029174,0.31431642,1.7607617,0.5029174
6000576,1,0.2964489,1.749512,0.49701297,0.2964489,1.749512,0.49701297
6000576,2,0.30733988,1.7514743,0.4554706,0.30733982,1.7514744,0.4554706
6000576,3,0.31682268,1.7463937,0.4720697,0.31682262,1.7463937,0.47206974
6000576,4,0.316092,1.74398,0.5847688,0.3160919,1.74398,0.5847688
6000576,5,0.30789,1.7302935,0.6937923,0.30789015,1.7302935,0.6937922
6000576,6,0.30991128,1.70818,0.6944425,0.30991113,1.70818,0.6944425
6000576,7,0.32064393,1.6758358,0.6986061,0.32064384,1.6758356,0.6986061
6000576,8,0.3318442,1.6353073,0.65907454,0.33184424,1.6353073,0.65907454
6000576,9,0.31615034,1.5634408,0.6287631,0.3161505,1.5634408,0.6287631
6000576,10,0.31835133,1.5041511,0.5285157,0.3183514,1.5041511,0.5285157
6000576,11,0.33123627,1.4236785,0.45358026,0.33123615,1.4236784,0.45358026
6000576,12,0.3205471,1.331706,0.37999454,0.32054687,1.331706,0.37999457
6000576,13,0.2829164,1.2173301,0.31959546,0.28291643,1.21733,0.31959546
6000576,14,0.28433406,1.1067798,0.18695271,0.28433403,1.1067798,0.18695271
6000576,15,0.24511585,0.93325925,0.04626225,0.24511589,0.9332592,0.046262242
6000898,0,0.35005778,1.786808,0.52220774,0.3500578,1.786808,0.52220774
6000898,1,0.32400325,1.7925193,0.52154744,0.32400325,1.7925193,0.52154744
6000898,2,0.32684693,1.8023642,0.4824198,0.32684687,1.8023643,0.4824198
6000898,3,0.3440876,1.8073001,0.52144724,0.3440875,1.8073001,0.52144724
6000898,4,0.34089142,1.8107061,0.63673216,0.34089148,1.8107061,0.6367322
6000898,5,0.34411326,1.8207393,0.7470957,0.34411323,1.8207393,0.7470957
6000898,6,0.35843277,1.8210047,0.71010315,0.3584328,1.8210047,0.71010315
6000898,7,0.35903934,1.8057914,0.670612,0.35903937,1.8057914,0.670612
6000898,8,0.35932294,1.7883834,0.6805146,0.35932302,1.7883832,0.6805146
6000898,9,0.3637308,1.7442138,0.6280407,0.3637308,1.7442138,0.6280407
6000898,10,0.37156937,1.7148286,0.694237,0.37156942,1.7148286,0.69423705
6000898,11,0.38381663,1.6665912,0.61333895,0.3838165,1.6665912,0.613339
6000898,12,0.38769037,1.5913924,0.6252215,0.3876904,1.5913925,0.6252215
6000898,13,0.37451383,1.4514117,0.59323955,0.37451386,1.4514117,0.59323955
6000898,14,0.3696361,1.3339362,0.6038014,0.36963615,1.3339362,0.6038014
6000898,15,0.3317984,1.1191683,0.39597473,0.33179837,1.1191683,0.3959747
6000554,0,0.3291219,1.8113458,0.33036965,0.3291219,1.8113458,0.3303697
6000554,1,0.34608653,1.8383309,0.26412898,0.3460866,1.8383307,0.264129
6000554,2,0.33889255,1.8241154,0.28344005,0.33889267,1.8241153,0.28344005
6000554,3,0.36729634,1.8385546,0.33420908,0.3672963,1.8385546,0.33420908
6000554,4,0.36310446,1.8031602,0.38386822,0.36310434,1.8031602,0.38386822
6000554,5,0.3616891,1.7954631,0.5553713,0.361689,1.7954631,0.5553713
6000554,6,0.3487599,1.7405362,0.65256774,0.3487599,1.7405363,0.65256774
6000554,7,0.3505827,1.74473,0.7346363,0.35058275,1.74473,0.7346363
6000554,8,0.33618182,1.6628828,0.63077676,0.33618185,1.6628828,0.63077676
6000554,9,0.33555362,1.6547222,0.6894032,0.33555362,1.6547222,0.6894032
6000554,10,0.34115127,1.5357223,0.54537797,0.34115127,1.5357223,0.54537797
6000554,11,0.34737292,1.5117412,0.60992056,0.34737295,1.5117412,0.60992056
6000554,12,0.2883317,1.2983775,0.35536084,0.28833157,1.2983775,0.35536084
6000554,13,0.26908597,1.2425665,0.26224762,0.26908585,1.2425665,0.26224762
6000554,14,0.23308733,1.0122141,0.13806789,0.23308739,1.0122141,0.1380679
6000554,15,0.18988883,0.8111737,0.16042344,0.18988883,0.8111737,0.16042343
6000901,0,0.32200333,1.691934,0.725444,0.32200316,1.6919341,0.725444
6000901,1,0.34052986,1.6988986,0.703815,0.34052992,1.6988986,0.703815
6000901,2,0.35235372,1.6949399,0.6718532,0.35235375,1.6949399,0.6718532
6000901,3,0.33784503,1.7017503,0.8076953,0.3378449,1.7017503,0.8076953
6000901,4,0.34356138,1.6746054,0.8117415,0.34356138,1.6746054,0.8117415
6000901,5,0.34777153,1.6743243,0.82553697,0.34777158,1.6743243,0.82553697
6000901,6,0.3566012,1.6372216,0.717152,0.3566012,1.6372216,0.717152
6000901,7,0.35339275,1.6039302,0.71717864,0.35339287,1.6039305,0.71717864
6000901,8,0.34950197,1.5375538,0.60939866,0.34950194,1.5375538,0.6093986
6000901,9,0.36402935,1.5139254,0.660597,0.36402938,1.5139253,0.660597
6000901,10,0.38417295,1.3628771,0.46508092,0.384173,1.362877,0.46508086
6000901,11,0.37550175,1.3022451,0.46908283,0.3755018,1.3022451,0.46908277
6000901,12,0.40582448,1.099119,0.27016664,0.40582448,1.099119,0.27016664
6000901,13,0.34925672,0.95661664,0.1460906,0.34925678,0.95661664,0.14609058
6000901,14,0.26766708,0.6745701,0.041607272,0.2676671,0.67456996,0.041607276
6000901,15,0.13531958,0.22266042,0.010757579,0.13531964,0.22266042,0.010757574
6000579,0,0.2859706,1.7878048,0.10568322,0.28597072,1.7878048,0.10568322
6000579,1,0.2894113,1.7942674,0.022639692,0.28941128,1.7942674,0.022639722
6000579,2,0.2973571,1.8203189,0.018474132,0.29735705,1.8203188,0.018474132
6000579,3,0.31704706,1.8309307,0.15591949,0.31704694,1.8309307,0.15591948
6000579,4,0.32756367,1.8277466,0.4066791,0.3275636,1.8277466,0.4066791
6000579,5,0.32729274,1.8326828,0.5397094,0.32729268,1.8326828,0.5397094
6000579,6,0.3256962,1.831455,0.6626999,0.32569608,1.831455,0.6626999
6000579,7,0.32884395,1.8203527,0.6797199,0.32884392,1.8203527,0.6797199
6000579,8,0.34274775,1.7951891,0.71631813,0.34274775,1.7951889,0.71631813
6000579,9,0.3393286,1.756916,0.7307637,0.33932856,1.7569162,0.7307637
6000579,10,0.34748393,1.7212777,0.7126423,0.34748396,1.7212777,0.7126423
6000579,11,0.34459165,1.6646733,0.6424571,0.34459162,1.6646733,0.6424571
6000579,12,0.35427997,1.5879406,0.6053784,0.35428,1.5879406,0.6053784
6000579,13,0.3392437,1.4881065,0.5084161,0.33924386,1.4881065,0.5084161
6000579,14,0.3360844,1.3658043,0.32133234,0.3360844,1.3658044,0.32133234
6000579,15,0.35686427,1.2207048,0.30488765,0.35686427,1.2207049,0.30488765
6000561,0,0.30175856,1.6666396,0.5889571,0.30175856,1.6666396,0.5889571
6000561,1,0.297955,1.6627898,0.59739476,0.297955,1.6627898,0.5973947
6000561,2,0.29052043,1.6664157,0.58137685,0.2905205,1.6664156,0.5813768
6000561,3,0.29937243,1.6641002,0.61972874,0.29937246,1.6641002,0.6197288
6000561,4,0.29920235,1.6718729,0.69135964,0.2992024,1.6718729,0.69135964
6000561,5,0.29959112,1.6721791,0.6938994,0.2995913,1.672179,0.69389933
6000561,6,0.29460135,1.652385,0.69931567,0.29460144,1.652385,0.69931567
6000561,7,0.29359636,1.6101828,0.70809263,0.29359645,1.6101828,0.70809263
6000561,8,0.2838355,1.5377098,0.70361173,0.2838354,1.5377098,0.70361173
