Subject ID,Slice Index,SSIM_Zscore,SSIM_minmax
2070308,0,0.75461700967454,0.7561117002980282
2070308,1,0.754257269383722,0.7924759430931525
2070308,2,0.764709385367469,0.7781857177414492
2070308,3,0.832492290710067,0.8497078241802583
2070308,4,0.8956079576402035,0.8916498896073353
2070308,5,0.7449869122274991,0.7513820533519427
2070308,6,0.8843107958724497,0.8872618074192589
2070308,7,0.9030992188419754,0.907545922961431
2070308,8,0.7057826423743064,0.7260893928850691
2070308,9,0.878395614773447,0.8693196515343564
2070308,10,0.7595665095525322,0.7589339120156057
2070308,11,0.8523984850977716,0.8046564532614622
2070308,12,0.8588830271340893,0.8224555801083097
2070308,13,0.7609221714473291,0.7505574523353821
2070308,14,0.6775010558489913,0.6530552854583112
2070308,15,0.6703556898776583,0.6407987046409176
2070559,0,0.6903627868978794,0.6859153037362332
2070559,1,0.5916306012297712,0.5915912225450458
2070559,2,0.682075634674285,0.6908426116616077
2070559,3,0.6093318890762699,0.5981037433058728
2070559,4,0.7160794139623052,0.7311477956987404
2070559,5,0.649056542617776,0.6581886468242873
2070559,6,0.7285106605906027,0.744876402308291
2070559,7,0.7227706067978694,0.7163055625561535
2070559,8,0.6658524760651103,0.6846567568998921
2070559,9,0.7684266059248516,0.7792923598093755
2070559,10,0.7116051536673346,0.7129374432862812
2070559,11,0.7741688150830448,0.7259459977532643
2070559,12,0.7842520630952514,0.7453428994231318
2070559,13,0.6195679087102631,0.6144555214729424
2070559,14,0.511094087257952,0.48678963301419914
2070559,15,0.45026032221453643,0.428777010925679
2030082,0,0.7856838922142847,0.7867100837803996
2030082,1,0.7322169658519432,0.7376856611498975
2030082,2,0.5912484980424128,0.5914048333713651
2030082,3,0.7087164012518439,0.710934899977148
2030082,4,0.7784423387354817,0.7667611916442701
2030082,5,0.6809782702655919,0.6632442971866307
2030082,6,0.7830926483126475,0.7707066335599009
2030082,7,0.80575762824505,0.7910917377908698
2030082,8,0.7618668591098734,0.7416363817809811
2030082,9,0.8122051796915903,0.7965572924679657
2030082,10,0.7993418462018707,0.7314730337178529
2030082,11,0.834924096809192,0.8028125043394992
2030082,12,0.8473057739748666,0.8068482720693168
2030082,13,0.7483822742528323,0.7172978733702488
2030082,14,0.7443728797729698,0.7091066263719414
2030082,15,0.4619774207591901,0.439137544673836
2070847,0,0.7678782482130002,0.7680181530274222
2070847,1,0.870020508444768,0.8569245555696469
2070847,2,0.7724797126737194,0.7825413008188643
2070847,3,0.8918399463223518,0.8877545238627387
2070847,4,0.8577096160345283,0.8594347650585776
2070847,5,0.8197958658460667,0.8088488650426043
2070847,6,0.8837385507146818,0.8819856875311509
2070847,7,0.8442261995626706,0.8190976879162204
2070847,8,0.7713459520579357,0.755011057184926
2070847,9,0.8532755166865376,0.7970941624112556
2070847,10,0.8258701112982356,0.8078129034692302
2070847,11,0.8116298669015956,0.774068244676743
2070847,12,0.8068055961855422,0.7498081986069108
2070847,13,0.8278221570119941,0.7938734299640687
2070847,14,0.8035292457696075,0.768572125567916
2070847,15,0.5602317230416464,0.5358567777170721
2070390,0,0.8498440791126725,0.8574862133524246
2070390,1,0.8448577541748984,0.8622717881501949
2070390,2,0.8579952688733699,0.8580895502987811
2070390,3,0.7982560568816902,0.8025930020555407
2070390,4,0.8087513556641782,0.7623818142515167
2070390,5,0.7795359975656452,0.7812713433021383
2070390,6,0.7194371232166097,0.707597574857653
2070390,7,0.7730019131054464,0.7664562581495674
2070390,8,0.752396989893337,0.7333581647463124
2070390,9,0.7351709789197493,0.7129170472559258
2070390,10,0.803716278212325,0.7154887890957281
2070390,11,0.7724216097997427,0.7523321614938625
2070390,12,0.778136984510701,0.7523498504374001
2070390,13,0.6373872150831694,0.6126614117326039
2070390,14,0.6117445468720969,0.5888605302488472
2070390,15,0.24869674336998,0.29160789460142555
2050035,0,0.8362055235504622,0.8502264070898805
2050035,1,0.7921030725149694,0.8102411346617163
2050035,2,0.8224822124928992,0.8416483663448977
2050035,3,0.7889078578029127,0.7986548602277493
2050035,4,0.7176410724783074,0.7534586273558052
2050035,5,0.8489923323001217,0.8663346235942131
2050035,6,0.8172419764188441,0.8379086602944686
2050035,7,0.8589043281791395,0.8585597649925271
2050035,8,0.7328813238435007,0.7435371652224029
2050035,9,0.8590249115091789,0.8328466446676779
2050035,10,0.7610389630752152,0.7605365158009604
2050035,11,0.7352852900364971,0.7251005450828282
2050035,12,0.7278966877242409,0.7109777367709027
2050035,13,0.8138922416227118,0.8019925151267753
2050035,14,0.8176847892668525,0.7711645766542246
2050035,15,0.782631688380486,0.7736118055416722
2020161,0,0.7467772441988788,0.7754646042460069
2020161,1,0.6965229238309005,0.7318054390108034
2020161,2,0.7903598198264258,0.8020479406213797
2020161,3,0.7280097523180634,0.7333335128342929
2020161,4,0.6682922098527816,0.7018936385952992
2020161,5,0.781836436914701,0.8014652354369651
2020161,6,0.7716037964085394,0.7893188942705996
2020161,7,0.8040949062732219,0.8075515027533399
