Subject ID,Slice Index,SSIM_Zscore,SSIM_minmax
6003003,10,0.6967246809755346,0.7135269021478766
6003003,11,0.602342269583955,0.6115781017555553
6003003,12,0.47708350813872014,0.47312019291665286
6003003,13,0.3510196473247229,0.3310130132093669
6003003,14,0.4514710831775282,0.4278858557186086
6003003,15,0.41109039829451854,0.4186920587271502
6002993,0,0.7486704841007801,0.7518671326518734
6002993,1,0.7279136989461836,0.7539949921188491
6002993,2,0.8493069789657117,0.8298587683728401
6002993,3,0.827989521645154,0.8459186352266272
6002993,4,0.7478020474302609,0.7601217805472339
6002993,5,0.6809078051563067,0.7097080655619055
6002993,6,0.6974903784477497,0.7136790105425681
6002993,7,0.6736299313956517,0.6887196707476965
6002993,8,0.6252549629438258,0.6286997950642592
6002993,9,0.5725171238861155,0.5857056482814027
6002993,10,0.6052500789992834,0.6072290620211126
6002993,11,0.5910208638903952,0.5827903590708043
6002993,12,0.453358205437487,0.45170553502958527
6002993,13,0.3325456845352782,0.33254004105500695
6002993,14,0.27983104573968676,0.2792893180688982
6002993,15,0.2674138737627171,0.27003580605920957
6003012,0,0.6612345545523547,0.6364802289388013
6003012,1,0.6651260843576907,0.6654807676231109
6003012,2,0.6601332263906317,0.6463230734228887
6003012,3,0.6422025732901866,0.6282829459960223
6003012,4,0.6376384632116483,0.5981446369600789
6003012,5,0.6649894590492478,0.6531678522689377
6003012,6,0.6521330614769438,0.6306567937099974
6003012,7,0.6622302729316623,0.6552242151920069
6003012,8,0.6498267290668526,0.6375958372456992
6003012,9,0.6741522896107621,0.6603089624821539
6003012,10,0.6322066661017046,0.6217981369802674
6003012,11,0.7118714398169609,0.6988900365138234
6003012,12,0.670333968354234,0.6722077509043435
6003012,13,0.6661995154932163,0.6625034861616268
6003012,14,0.6064963966709209,0.6034243829293646
6003012,15,0.2039696395319815,0.25730692705435826
6003002,0,0.7599941333424387,0.7885177283436939
6003002,1,0.7533608364661789,0.7829830696838366
6003002,2,0.7517929103119458,0.7882539827637297
6003002,3,0.6828631037429505,0.694903426773365
