Subject ID,Slice Index,Haarpsi,VSI
6000877,0,0.5887352362265432,tensor(0.9704)
6000877,1,0.6903366447254723,tensor(0.9758)
6000877,2,0.44926865176476516,tensor(0.9580)
6000877,3,0.4493104332684397,tensor(0.9576)
6000877,4,0.3802671057219266,tensor(0.9504)
6000877,5,0.5307460922784514,tensor(0.9663)
6000877,6,0.42375080541574517,tensor(0.9574)
6000877,7,0.5423890670639516,tensor(0.9653)
6000877,8,0.4356824092524441,tensor(0.9543)
6000877,9,0.41099460867816284,tensor(0.9526)
6000877,10,0.5216181486630754,tensor(0.9623)
6000877,11,0.6420962704815726,tensor(0.9675)
6000877,12,0.5637828903914339,tensor(0.9630)
6000877,13,0.7745196861100817,tensor(0.9745)
6000877,14,0.8203614175541815,tensor(0.9722)
6000877,15,0.8060251101119946,tensor(0.9700)
2080392,0,0.846234060928365,tensor(0.9813)
2080392,1,0.8111289714401497,tensor(0.9846)
2080392,2,0.6962705921819825,tensor(0.9709)
2080392,3,0.7460110675087605,tensor(0.9770)
2080392,4,0.7302445688431018,tensor(0.9788)
2080392,5,0.7597218094783169,tensor(0.9801)
2080392,6,0.7742996452672596,tensor(0.9844)
2080392,7,0.7209216018295223,tensor(0.9800)
2080392,8,0.8852468540654926,tensor(0.9880)
2080392,9,0.7245398845742392,tensor(0.9810)
2080392,10,0.8961572014835048,tensor(0.9903)
2080392,11,0.7829312480687487,tensor(0.9819)
2080392,12,0.9083687274178475,tensor(0.9899)
2080392,13,0.8443067380508213,tensor(0.9852)
2080392,14,0.8392491500505642,tensor(0.9746)
2080392,15,0.9002142317935112,tensor(0.9789)
2070354,0,0.6424692919759687,tensor(0.9731)
2070354,1,0.7390763065434375,tensor(0.9783)
2070354,2,0.5395914781626207,tensor(0.9619)
2070354,3,0.5593380061950598,tensor(0.9615)
2070354,4,0.45286684236469166,tensor(0.9561)
2070354,5,0.5373000708598943,tensor(0.9670)
2070354,6,0.53420072293148,tensor(0.9669)
2070354,7,0.6496988372706587,tensor(0.9752)
2070354,8,0.6107780211066282,tensor(0.9713)
2070354,9,0.5802920744301701,tensor(0.9690)
2070354,10,0.6784026201475358,tensor(0.9727)
2070354,11,0.705472520200555,tensor(0.9736)
2070354,12,0.6749880395757931,tensor(0.9692)
2070354,13,0.8104696484047601,tensor(0.9740)
2070354,14,0.84326107645725,tensor(0.9715)
2070354,15,0.8518869421894021,tensor(0.9699)
6000848,0,0.43331792241414396,tensor(0.9447)
6000848,1,0.627821032322134,tensor(0.9601)
6000848,2,0.601239772270621,tensor(0.9664)
6000848,3,0.6605466529359864,tensor(0.9693)
6000848,4,0.45402060326561666,tensor(0.9525)
6000848,5,0.4836252123920891,tensor(0.9564)
6000848,6,0.5167847222248781,tensor(0.9622)
6000848,7,0.44941541598305557,tensor(0.9545)
6000848,8,0.5470578518951236,tensor(0.9618)
6000848,9,0.6323163635128639,tensor(0.9701)
6000848,10,0.6620772840868397,tensor(0.9668)
6000848,11,0.7225282134378175,tensor(0.9732)
6000848,12,0.7425047663370712,tensor(0.9679)
6000848,13,0.6492832024686801,tensor(0.9616)
6000848,14,0.7220470296100886,tensor(0.9711)
6000848,15,0.7083660485997983,tensor(0.9597)
2080345,0,0.8461346903137426,tensor(0.9839)
2080345,1,0.4520718696215114,tensor(0.9413)
2080345,2,0.4511564335662188,tensor(0.9452)
2080345,3,0.4762471690455654,tensor(0.9434)
2080345,4,0.7632046597112021,tensor(0.9769)
2080345,5,0.8014066909440688,tensor(0.9794)
2080345,6,0.8938864291669734,tensor(0.9882)
2080345,7,0.7488330625606087,tensor(0.9808)
2080345,8,0.8522581375398778,tensor(0.9852)
2080345,9,0.4740439214648633,tensor(0.9517)
2080345,10,0.45428384613283207,tensor(0.9538)
2080345,11,0.44666124143893876,tensor(0.9544)
2080345,12,0.4638348842221942,tensor(0.9584)
2080345,13,0.4983357555607083,tensor(0.9592)
2080345,14,0.5498157560619886,tensor(0.9620)
2080345,15,0.6585198995466827,tensor(0.9667)
2080227,0,0.6255885773095465,tensor(0.9557)
2080227,1,0.6856978263601377,tensor(0.9724)
2080227,2,0.7077403542770668,tensor(0.9725)
2080227,3,0.4877037410745492,tensor(0.9603)
2080227,4,0.6481950609664183,tensor(0.9713)
2080227,5,0.7685214607100648,tensor(0.9818)
2080227,6,0.6404690536578206,tensor(0.9719)
2080227,7,0.6649594133217406,tensor(0.9721)
2080227,8,0.6036989654915091,tensor(0.9656)
2080227,9,0.645459685816154,tensor(0.9752)
2080227,10,0.8307407069701581,tensor(0.9842)
2080227,11,0.833993152112567,tensor(0.9865)
2080227,12,0.7218469467405368,tensor(0.9812)
2080227,13,0.8873820841769863,tensor(0.9824)
2080227,14,0.9105202632402344,tensor(0.9818)
2080227,15,0.7687817448760242,tensor(0.9740)
2070505,0,0.6894105342947568,tensor(0.9685)
2070505,1,0.795000020349865,tensor(0.9805)
2070505,2,0.715718696649875,tensor(0.9702)
2070505,3,0.6360044278959109,tensor(0.9685)
2070505,4,0.28949312220832674,tensor(0.8982)
2070505,5,0.4548462322486571,tensor(0.9397)
2070505,6,0.3974000823680731,tensor(0.9314)
2070505,7,0.26580809555309576,tensor(0.8970)
2070505,8,0.44664195626341585,tensor(0.9437)
2070505,9,0.39927531628694174,tensor(0.9363)
2070505,10,0.45241231561612155,tensor(0.9492)
2070505,11,0.37440952235277936,tensor(0.9389)
