Subject ID,Slice Index,Haarpsi,VSI,VIF,NQM,Motion_Level
brain_AXFLAIR_210_6001937,0,0.9981888350038112,0.9997,0.9556,45.00658540644458,1
brain_AXFLAIR_210_6001937,1,0.9974616175518496,0.9994,0.9328,44.38504803536321,1
brain_AXFLAIR_210_6001937,2,0.9810018272835496,0.9973,0.8317,33.24787449010765,1
brain_AXFLAIR_210_6001937,3,0.9973419049096262,0.9995,0.943,44.80571763281539,1
brain_AXFLAIR_210_6001937,4,0.9542601105559112,0.9958,0.7745,31.57841802402836,1
brain_AXFLAIR_210_6001937,5,0.9946080988879696,0.9988,0.8886,40.07335576238144,1
brain_AXFLAIR_210_6001937,6,0.9905765772632786,0.9986,0.8738,38.09815044062559,1
brain_AXFLAIR_210_6001937,7,0.9880031391635452,0.9979,0.8514,39.23084478483242,1
brain_AXFLAIR_210_6001937,8,0.9612454289260404,0.9947,0.7333,28.77637253163453,1
brain_AXFLAIR_210_6001937,9,0.98629139282143,0.9972,0.8221,37.50743236002465,1
brain_AXFLAIR_210_6001937,10,0.999839131249907,0.9999,0.9801,50.15169286107554,1
brain_AXFLAIR_210_6001937,11,0.987944909615456,0.9973,0.7695,35.44137492090464,1
brain_AXFLAIR_210_6001937,12,0.9752601388191068,0.9947,0.589,33.41628127898401,1
brain_AXFLAIR_210_6001937,13,0.9599227346821906,0.9942,0.5917,30.268579499684147,1
brain_AXFLAIR_210_6001937,14,0.97444869278073,0.9967,0.6143,27.81215234136437,1
brain_AXFLAIR_210_6001937,15,0.9793514200128148,0.9976,0.6834,32.99972030217635,1
brain_AXFLAIR_210_6001905,0,0.9921838630124096,0.9984,0.8602,33.845460395963244,1
brain_AXFLAIR_210_6001905,1,0.9892555739386654,0.9981,0.852,28.46503204042052,1
brain_AXFLAIR_210_6001905,2,0.9979445596321648,0.9996,0.96,41.37853150877895,1
brain_AXFLAIR_210_6001905,3,0.9745122498809348,0.9972,0.8237,33.37914880267144,1
brain_AXFLAIR_210_6001905,4,0.9816921150457962,0.9975,0.8323,30.389914059892487,1
brain_AXFLAIR_210_6001905,5,0.982415777336821,0.9979,0.8442,38.057299405307454,1
brain_AXFLAIR_210_6001905,6,0.9878199289013596,0.9979,0.8618,38.73848475016841,1
brain_AXFLAIR_210_6001905,7,0.984829849006444,0.9975,0.8327,36.25273898563317,1
brain_AXFLAIR_210_6001905,8,0.9821021473085648,0.9975,0.8122,33.77653100225586,1
brain_AXFLAIR_210_6001905,9,0.99000098508832,0.9979,0.8197,39.34916350675937,1
brain_AXFLAIR_210_6001905,10,0.9878032083190788,0.9975,0.8399,31.36043714094091,1
brain_AXFLAIR_210_6001905,11,0.9849450202304516,0.9969,0.7856,32.927264614969054,1
brain_AXFLAIR_210_6001905,12,0.9941136577679016,0.9992,0.8762,38.93469859729323,1
brain_AXFLAIR_210_6001905,13,0.98040098032419,0.9971,0.7117,36.32725899566967,1
brain_AXFLAIR_210_6001905,14,0.9985461492549912,0.9997,0.9108,41.8542151425155,1
brain_AXFLAIR_210_6001905,15,0.9875334782587912,0.9981,0.7269,36.20315239289532,1
brain_AXFLAIR_210_6001897,0,0.9740054143453608,0.9951,0.7629,38.481274329787205,1
